,0
0,HOLD
1,HOLD
2,HOLD
3,HOLD
4,HOLD
5,HOLD
6,HOLD
7,HOLD
8,HOLD
9,HOLD
10,HOLD
11,HOLD
12,HOLD
13,HOLD
14,HOLD
15,HOLD
16,HOLD
17,HOLD
18,HOLD
19,HOLD
20,HOLD
21,HOLD
22,HOLD
23,HOLD
24,HOLD
25,HOLD
26,HOLD
27,HOLD
28,HOLD
29,HOLD
30,HOLD
31,HOLD
32,HOLD
33,HOLD
34,HOLD
35,ORDER_SELL
36,HOLD
37,HOLD
38,HOLD
39,HOLD
40,HOLD
41,HOLD
42,HOLD
43,HOLD
44,HOLD
45,HOLD
46,HOLD
47,HOLD
48,HOLD
49,HOLD
50,HOLD
51,HOLD
52,HOLD
53,HOLD
54,HOLD
55,HOLD
56,HOLD
57,HOLD
58,HOLD
59,HOLD
60,HOLD
61,HOLD
62,HOLD
63,HOLD
64,HOLD
65,HOLD
66,HOLD
67,HOLD
68,HOLD
69,HOLD
70,HOLD
71,HOLD
72,HOLD
73,HOLD
74,ORDER_BUY
75,HOLD
76,HOLD
77,HOLD
78,HOLD
79,HOLD
80,HOLD
81,HOLD
82,HOLD
83,HOLD
84,HOLD
85,HOLD
86,HOLD
87,HOLD
88,HOLD
89,HOLD
90,HOLD
91,HOLD
92,HOLD
93,HOLD
94,HOLD
95,HOLD
96,HOLD
97,HOLD
98,HOLD
99,HOLD
100,HOLD
101,HOLD
102,HOLD
103,HOLD
104,HOLD
105,HOLD
106,HOLD
107,HOLD
108,HOLD
109,HOLD
110,HOLD
111,HOLD
112,HOLD
113,HOLD
114,HOLD
115,HOLD
116,HOLD
117,HOLD
118,HOLD
119,HOLD
120,HOLD
121,HOLD
122,HOLD
123,HOLD
124,HOLD
125,HOLD
126,HOLD
127,HOLD
128,HOLD
129,HOLD
130,HOLD
131,HOLD
132,HOLD
133,HOLD
134,HOLD
135,HOLD
136,HOLD
137,HOLD
138,ORDER_SELL
139,HOLD
140,HOLD
141,HOLD
142,HOLD
143,HOLD
144,HOLD
145,HOLD
146,HOLD
147,HOLD
148,HOLD
149,HOLD
150,HOLD
151,HOLD
152,HOLD
153,HOLD
154,HOLD
155,HOLD
156,HOLD
157,HOLD
158,HOLD
159,HOLD
160,HOLD
161,HOLD
162,HOLD
163,HOLD
164,HOLD
165,HOLD
166,HOLD
167,HOLD
168,HOLD
169,HOLD
170,HOLD
171,HOLD
172,HOLD
173,HOLD
174,HOLD
175,HOLD
176,HOLD
177,HOLD
178,HOLD
179,HOLD
180,HOLD
181,HOLD
182,HOLD
183,HOLD
184,HOLD
185,HOLD
186,HOLD
187,HOLD
188,HOLD
189,ORDER_BUY
190,HOLD
191,HOLD
192,HOLD
193,HOLD
194,HOLD
195,HOLD
196,HOLD
197,HOLD
198,HOLD
199,HOLD
200,HOLD
201,HOLD
202,HOLD
203,HOLD
204,HOLD
205,HOLD
206,HOLD
207,HOLD
208,HOLD
209,HOLD
210,HOLD
211,HOLD
212,HOLD
213,HOLD
214,HOLD
215,HOLD
216,ORDER_SELL
217,HOLD
218,HOLD
219,HOLD
220,HOLD
221,ORDER_BUY
222,HOLD
223,HOLD
224,HOLD
225,HOLD
226,HOLD
227,HOLD
